 linenumber |                                          path                                          |                                               content                                                |  project  |      szz_date       | copypath | copyrevision | mergerev | branchrev | changeproperty | missed | furtherback | contentdiff | issample | diffjmessage | diffjlocation | refdiffindex | adjustmentindex | indexposrefac | indexfurtherback | indexchangepath | isrefac |                 revision                 |               fixrevision                | islargest | islatest |              startrevision               |                                       startpath                                        | startlinenumber |                                             startcontent                                             | isvalidfix | hasmatchmaszz | isvalidresult 
         17 | src/java/jmx/org/apache/zookeeper/server/ManagedZooKeeperServer.java                   | -package com.yahoo.zookeeper.server;                                                                 | zookeeper | 2008-06-24 11:35:31 |          |            0 | f        | f         | f              | f      | f           |             |          |              |               |              |               0 |             1 |                2 |               1 | t       | 98b153609b00157bb02ba75814f49a9bd46dc26d | cfd2ecb8d049c1b51b2c1e6d5fd02edd5d3c26e8 |           |          | 98b153609b00157bb02ba75814f49a9bd46dc26d | src/java/jmx/org/apache/zookeeper/server/ManagedZooKeeperServer.java                   |              17 | -package com.yahoo.zookeeper.server;                                                                 |            |               | 
         17 | src/java/jmx/org/apache/zookeeper/server/ObservableDataTree.java                       | -package com.yahoo.zookeeper.server;                                                                 | zookeeper | 2008-06-24 11:35:31 |          |            0 | f        | f         | f              | f      | f           |             |          |              |               |              |               0 |             1 |                2 |               1 | t       | 98b153609b00157bb02ba75814f49a9bd46dc26d | cfd2ecb8d049c1b51b2c1e6d5fd02edd5d3c26e8 |           |          | 98b153609b00157bb02ba75814f49a9bd46dc26d | src/java/jmx/org/apache/zookeeper/server/ObservableDataTree.java                       |              17 | -package com.yahoo.zookeeper.server;                                                                 |            |               | 
         17 | src/java/jmx/org/apache/zookeeper/server/ObservableNIOServerCnxn.java                  | -package com.yahoo.zookeeper.server;                                                                 | zookeeper | 2008-06-24 11:35:31 |          |            0 | f        | f         | f              | f      | f           |             |          |              |               |              |               0 |             1 |                2 |               1 | t       | 98b153609b00157bb02ba75814f49a9bd46dc26d | cfd2ecb8d049c1b51b2c1e6d5fd02edd5d3c26e8 |           |          | 98b153609b00157bb02ba75814f49a9bd46dc26d | src/java/jmx/org/apache/zookeeper/server/ObservableNIOServerCnxn.java                  |              17 | -package com.yahoo.zookeeper.server;                                                                 |            |               | 
         17 | src/java/jmx/org/apache/zookeeper/server/ObservableZooKeeperServer.java                | -package com.yahoo.zookeeper.server;                                                                 | zookeeper | 2008-06-24 11:35:31 |          |            0 | f        | f         | f              | f      | f           |             |          |              |               |              |               0 |             1 |                2 |               1 | t       | 98b153609b00157bb02ba75814f49a9bd46dc26d | cfd2ecb8d049c1b51b2c1e6d5fd02edd5d3c26e8 |           |          | 98b153609b00157bb02ba75814f49a9bd46dc26d | src/java/jmx/org/apache/zookeeper/server/ObservableZooKeeperServer.java                |              17 | -package com.yahoo.zookeeper.server;                                                                 |            |               | 
         17 | src/java/jmx/org/apache/zookeeper/server/ZooKeeperObserverNotifier.java                | -package com.yahoo.zookeeper.server;                                                                 | zookeeper | 2008-06-24 11:35:31 |          |            0 | f        | f         | f              | f      | f           |             |          |              |               |              |               0 |             1 |                2 |               1 | t       | 98b153609b00157bb02ba75814f49a9bd46dc26d | cfd2ecb8d049c1b51b2c1e6d5fd02edd5d3c26e8 |           |          | 98b153609b00157bb02ba75814f49a9bd46dc26d | src/java/jmx/org/apache/zookeeper/server/ZooKeeperObserverNotifier.java                |              17 | -package com.yahoo.zookeeper.server;                                                                 |            |               | 
         17 | src/java/jmx/org/apache/zookeeper/server/quorum/ManagedQuorumPeer.java                 | -package com.yahoo.zookeeper.server.quorum;                                                          | zookeeper | 2008-06-24 11:35:31 |          |            0 | f        | f         | f              | f      | f           |             |          |              |               |              |               0 |             1 |                2 |               1 | t       | 98b153609b00157bb02ba75814f49a9bd46dc26d | cfd2ecb8d049c1b51b2c1e6d5fd02edd5d3c26e8 |           |          | 98b153609b00157bb02ba75814f49a9bd46dc26d | src/java/jmx/org/apache/zookeeper/server/quorum/ManagedQuorumPeer.java                 |              17 | -package com.yahoo.zookeeper.server.quorum;                                                          |            |               | 
         17 | src/java/jmx/org/apache/zookeeper/server/quorum/ObservableFollower.java                | -package com.yahoo.zookeeper.server.quorum;                                                          | zookeeper | 2008-06-24 11:35:31 |          |            0 | f        | f         | f              | f      | f           |             |          |              |               |              |               0 |             1 |                2 |               1 | t       | 98b153609b00157bb02ba75814f49a9bd46dc26d | cfd2ecb8d049c1b51b2c1e6d5fd02edd5d3c26e8 |           |          | 98b153609b00157bb02ba75814f49a9bd46dc26d | src/java/jmx/org/apache/zookeeper/server/quorum/ObservableFollower.java                |              17 | -package com.yahoo.zookeeper.server.quorum;                                                          |            |               | 
         17 | src/java/jmx/org/apache/zookeeper/server/quorum/ObservableFollowerZooKeeperServer.java | -package com.yahoo.zookeeper.server.quorum;                                                          | zookeeper | 2008-06-24 11:35:31 |          |            0 | f        | f         | f              | f      | f           |             |          |              |               |              |               0 |             1 |                2 |               1 | t       | 98b153609b00157bb02ba75814f49a9bd46dc26d | cfd2ecb8d049c1b51b2c1e6d5fd02edd5d3c26e8 |           |          | 98b153609b00157bb02ba75814f49a9bd46dc26d | src/java/jmx/org/apache/zookeeper/server/quorum/ObservableFollowerZooKeeperServer.java |              17 | -package com.yahoo.zookeeper.server.quorum;                                                          |            |               | 
         17 | src/java/jmx/org/apache/zookeeper/server/quorum/ObservableLeader.java                  | -package com.yahoo.zookeeper.server.quorum;                                                          | zookeeper | 2008-06-24 11:35:31 |          |            0 | f        | f         | f              | f      | f           |             |          |              |               |              |               0 |             1 |                2 |               1 | t       | 98b153609b00157bb02ba75814f49a9bd46dc26d | cfd2ecb8d049c1b51b2c1e6d5fd02edd5d3c26e8 |           |          | 98b153609b00157bb02ba75814f49a9bd46dc26d | src/java/jmx/org/apache/zookeeper/server/quorum/ObservableLeader.java                  |              17 | -package com.yahoo.zookeeper.server.quorum;                                                          |            |               | 
         17 | src/java/jmx/org/apache/zookeeper/server/quorum/ObservableLeaderZooKeeperServer.java   | -package com.yahoo.zookeeper.server.quorum;                                                          | zookeeper | 2008-06-24 11:35:31 |          |            0 | f        | f         | f              | f      | f           |             |          |              |               |              |               0 |             1 |                2 |               1 | t       | 98b153609b00157bb02ba75814f49a9bd46dc26d | cfd2ecb8d049c1b51b2c1e6d5fd02edd5d3c26e8 |           |          | 98b153609b00157bb02ba75814f49a9bd46dc26d | src/java/jmx/org/apache/zookeeper/server/quorum/ObservableLeaderZooKeeperServer.java   |              17 | -package com.yahoo.zookeeper.server.quorum;                                                          |            |               | 
